Id,Name,Date,Rating,Popularity,Length,Tags
11,Little Busters!,2007-07-27,8.59,57.44,Very long,"['Action', 'Branching Plot', 'Friendship', 'Heroine with Flat Chest (Non-Loli)', 'More Than Seven Endings', 'Multiple Endings', 'School Dormitory', 'Skippable Gameplay', 'Sports as Gameplay Element', 'Student Heroine', 'Student Protagonist', 'Timid Protagonist', 'Unlockable Event', 'Unlockable Hero(ine)', 'Unlockable Routes', 'Male Protagonist', 'High School', 'Varying Ending Songs', 'Group of Friends', 'School Life Comedy', 'Nakige', 'Multiple Songs', 'Drama', 'Shy Heroine', 'Fictional Modern Day Japanese Town', ""Protagonist's Childhood Friend as a Heroine"", 'ADV', 'Varied Title Screens', 'Protagonist with a Face', 'Protagonist with Partial Voice Acting']"
12,Tsukihime,2000-08-11,8.16,55.84,Long,"[""90's"", 'Contemporary Fantasy', 'Male Protagonist', 'Multiple True Endings', 'NVL', 'Superpowers', 'Skip Scenes', 'Ending List', 'Unique Routes', 'More Than Seven Endings', 'Descriptions of Violence', 'High School Student Protagonist', 'Unlockable Choices', 'Unlockable Epilogue', 'Vampire', 'Game Over', 'Bad Endings with Story', 'High School Student Heroine', 'Hint Corner', 'Early Branching Plot', 'Maid Heroine', 'Vampire Heroine', 'Lots of Choices', 'Fictional Modern Day Japanese Town', 'High Amount of Bad Endings', 'Multiple Endings', 'Protagonist with Glasses', 'Flashback', 'Urban Fantasy', 'Fighting Protagonist']"
13,Ever17 -the out of infinity-,2002-08-29,8.47,55.72,Long,"['Confinement', 'Multiple Route Mystery', 'ADV', 'Amnesia', 'Male Protagonist', 'No Sexual Content', 'Multiple Protagonists', 'Mystery', 'Unlockable Routes', 'Multiple Endings', 'Unlockable Event', 'Unlockable Hero(ine)', 'More Than Seven Endings', 'Fictional Island Near Futuristic Japan', 'Protagonist with a Face', 'Energetic Heroine', 'Blind Choices', 'Early Branching Plot', 'Protagonist with a Sprite', 'Underwater', 'Amusement Park', 'Protagonist Selection', 'Ending List', 'Fear of Death', 'Life and Death Drama', 'Drama', 'Classic Tsundere Heroine', 'Stranded', 'Hard Science Fiction', 'Student Heroine']"
14,Super Dangan Ronpa 2 Sayonara Zetsubou Gakuen,2012-07-26,8.21,54.86,Long,"['Courtroom', 'Desperation', 'Detective Work', 'High School Student Hero', 'High School Student Heroine', 'Island', 'Life and Death Drama', 'Linear Plot', 'Major Antagonist', 'Confinement', 'High School Student Protagonist', 'Interactive Adventure Game', 'Male Protagonist', 'Battle Royale', 'ADV', 'Murder Mystery', 'Protagonist with a Face', 'Single Ending', 'Protagonist with Partial Voice Acting', 'Difficulty Settings', 'Flashback', 'Fast Mini-games', 'Protagonist with Ahoge', 'Unlockable Bonus Content', 'No Sexual Content', 'Character Profiles', 'Episodic Story', 'Map Movement', 'Track Display', 'Bonus Episodes']"
15,Rewrite,2011-06-24,8.52,52.48,Very long,"['High School Student Protagonist', 'More Than Seven Endings', 'Male Protagonist', 'Occult Club', 'Unlockable Routes', 'No Sexual Content', 'Fictional Modern Day Japanese Town', 'Environmentalism', 'Protagonist with Partial Voice Acting', 'Varying Ending Songs', 'Gauge Display', 'Unique Routes', 'ADV', 'Long Common Route', 'Built-in Encyclopedia', 'Student Club Member Heroine', 'Drama', 'Forest', 'Multiple Songs', 'Date Display', 'Group of Friends', 'High School', 'Student Club Member Protagonist', 'Student Club President Heroine', 'Protagonist with a Face', ""Protagonist's Childhood Friend as a Heroine"", 'School Life Comedy', 'Classic Tsundere Heroine', 'Map Movement', 'Meaningless Choices']"
16,Umineko no Naku Koro ni Chiru,2009-08-15,8.90,51.82,Very long,"['Colored Texts', 'Murder Mystery', 'Witch Heroine', 'Family', 'Battle of Wits', 'Philosophy', 'Western-style Mansion', 'Confinement', 'Magic', 'NVL', 'Ambient Sounds', 'Detective Work', 'Character Profiles', 'Magic/ESP Combat', 'No Sexual Content', 'Protagonist with a Face', 'Romance', 'Desperation', 'Descriptions of Violence', 'Varied Title Screens', 'Suspense', 'Photographic Backgrounds', ""80's"", 'Kinetic Novel', 'Other Perspectives', ""Narrating Others' Thoughts"", 'Linear Plot', 'Episodic Story', 'Built-in Encyclopedia', 'Third-person Narrative']"
17,"Sharin no Kuni, Himawari no Shoujo",2005-11-25,8.17,51.42,Long,"['Achievements', 'High School Student Heroine', 'Pragmatic Protagonist', 'Drama', 'ADV', 'Male Protagonist', 'Modern Day Setting in a Fictional World', 'Linear Plot', 'Friendship', 'Protagonist with a Face', 'Sunflowers', 'Student Heroine', 'Summer', 'Politics', 'Life and Death Drama', 'Genius Protagonist', 'Under the Same Roof', 'Proactive Protagonist', 'Flashback', 'Bad Endings with Story', 'Brief NVL Scenes', 'Multiple Endings', 'Varied Title Screens', 'Episodic Story', 'Late Branching Plot', 'Long Common Route', 'More Than Seven Endings', 'Bad Ending(s)', 'Meaningless Choices', ""Super Deformed CG's""]"
18,Doki Doki Literature Club!,2017-09-22,7.03,46.73,Short,"['Poetry', 'High School Student Heroine', 'Student Club President Heroine', 'Student Club Member Heroine', 'Student Club Member Protagonist', 'ADV', 'No Sexual Content', 'No Support Character', 'Protagonist as the Only Male', 'High School Student Protagonist', 'High School', 'Nameable Protagonist', 'Student Club', 'No Gallery', ""Protagonist's Childhood Friend as a Heroine"", 'Shy Heroine', 'Ponytail Heroine', 'Bookworm Heroine', 'Male Protagonist', 'Brief Branches Only', 'No Opening Movie', 'Tsundere Heroine', 'Multi-Selection Choices', 'Modifications', 'Choices with 4 or More Options', 'Unlockable Bonus Content', 'Blind Choices']"
19,Higurashi no Naku Koro ni,2002-08-10,8.50,46.52,Very long,"['Psychological Horror', 'Suspense', 'Kinetic Novel', 'Friendship', 'Episodic Story', 'Ambient Sounds', 'Murder Mystery', 'Group of Friends', 'Thriller', 'Summer', 'Photographic Backgrounds', 'NVL', 'Male Protagonist', 'No Sexual Content', 'Violence', 'Mystery', 'Festival', 'Fear of Death', 'Shouwa Era', ""80's"", 'Detective Work', 'Other Perspectives', 'Varied Title Screens', 'No Event CGs', 'No Romance Plot', 'Protagonist with Voice Acting', 'Forced Auto-Read Sections', 'Protagonist with a Face', 'Censored Text']"
20,Kyokugen Dasshutsu - 9-Jikan 9-Nin 9 no Tobira,2009-12-10,8.28,46.31,Medium,"['Death Game', 'Escape Game', 'Confinement', 'Ship', 'Interactive Adventure Game', 'Mystery', 'Bad Ending(s)', 'Multiple Endings', 'Multiple Route Mystery', 'Puzzle Game', 'Proactive Protagonist', 'No Sexual Content', 'Single Save Slot', 'Bad Endings with Story', 'Descriptions of Violence', 'Ending List', 'Suspense', 'Early Branching Plot', 'Protagonist with a Face', 'Male Protagonist', 'ADV', 'Fear of Death', 'Science Fiction', 'Infodumping', 'Built-in Flowchart', 'Flashback', ""Protagonist's Childhood Friend as a Heroine"", 'Blind Hero', 'Bloody Scenes', '2020s']"
21,Muv-Luv,2003-02-28,7.00,45.69,Long,"['Achievements', 'Classic Tsundere Heroine', 'Heroine with Big Breasts', 'More Than Seven Endings', 'Male Protagonist', 'Colored Name-tags', 'Colored Texts', 'Heroine with Expressive Ahoge', 'Romance', 'High School Student Heroine', 'Impulsive Protagonist', 'ADV', 'Heroine with Intake Hairstyle', ""Protagonist's Childhood Friend as a Heroine"", 'Student Heroine', 'Branching Plot', 'High School Student Protagonist', 'Donkan Protagonist', 'School Life Comedy', 'Ponytail Heroine', 'High School', 'Multiple Endings', ""Super Deformed CG's"", 'Unlockable Event', 'Ending List', 'Varied Title Screens', 'Protagonist with a Face', 'High Amount of Special Effects', 'Protagonist with Partial Voice Acting', 'Episodic Story']"
22,planetarian ~Chiisana Hoshi no Yume~,2004-11-29,7.87,45.46,Short,"['Kinetic Novel', 'Only a Single Heroine', 'ADV', 'Future Earth', 'No Sexual Content', 'Post Apocalyptic Earth', 'Single Ending', 'Robot Heroine', 'Music Recollection', 'Unnamed Protagonist', 'Linear Plot', 'Adult Protagonist', 'No Common Sense Heroine', 'Male Protagonist', 'Serious Protagonist', 'Rain', 'Pragmatic Protagonist', 'Twin Tail Heroine', 'Science Fiction', 'Unlockable Gallery', 'Drama', 'Few Event CGs', 'Protagonist with Voice Acting', 'No Opening Movie', 'Flashback', 'Changeable Font', 'Infodumping', 'No Romance Plot', 'Nakige', 'Forced Auto-Read Sections']"
23,Subarashiki Hibi ~Furenzoku Sonzai~,2010-03-26,8.65,44.72,Long,"['2010s', 'Life and Death Drama', 'Unlockable Epilogue', 'Unlockable Hero(ine)', 'Unlockable Protagonist', 'Unlockable Routes', 'Protagonist with a Face', 'Protagonist with a Sprite', 'Enforced Playing Order', 'Episodic Story', 'Multiple Endings', 'Mystery', 'Other Perspectives', 'Strong Female Protagonist', 'ADV', 'Multiple Protagonists', 'Denpa', 'Multiple Route Mystery', 'High School Student Protagonist', 'Varying Ending Songs', 'Female Protagonist', 'Multiple Credit Rolls', 'Proactive Protagonist', 'Male Protagonist', 'Bloody Scenes', 'Philosophy', 'Violence', 'High School Student Hero', 'High School Student Heroine', 'Heroine with Zettai Ryouiki']"
24,Gyakuten Saiban,2001-10-11,8.07,44.39,Medium,"['Battle of Wits', 'Falsely Accused', 'Lawyer Protagonist', 'No Romance Plot', 'Courtroom', 'Crime', 'Detective Work', 'Mystery', 'No Sexual Content', 'Homicide', 'Linear Plot', 'ADV', 'Interactive Adventure Game', 'Male Protagonist', 'Adult Protagonist', 'Protagonist with a Face', 'Murder Mystery', 'Protagonist with a Sprite', 'Medium Heroine', '2010s', 'Episodic Story', 'No Auto Function', 'Police', 'Intrigue', 'Game Over', 'Character Profiles', 'Pixel Art', 'Dialogue Based', 'Few Event CGs', 'Lip Sync']"
25,Kara no Shoujo,2008-07-04,7.99,42.32,Medium,"['Private Detective Protagonist', 'Psychological Horror', 'Bad Endings with Story', ""50's"", 'Past Tokyo', 'Murder Mystery', 'Detective Work', 'Male Protagonist', 'Adult Protagonist', 'Blind Choices', 'Built-in Encyclopedia', 'Date Display', 'Descriptions of Violence', 'Gore', 'Student Heroine', 'Mystery', 'Multiple Endings', 'Thriller', 'Bad Ending(s)', 'Multiple Route Mystery', 'Shouwa Era', 'Police', 'Brief NVL Scenes', 'Other Perspectives', 'Interactive Adventure Game', 'Game Over', 'ADV', 'Multi-Selection Choices', 'Utsuge', 'Map Movement']"
26,Sengoku Rance,2006-12-15,8.32,39.32,Very long,"['Antihero Protagonist', 'Turn Based Strategy Game', 'Unlockable Routes', 'Fighting Protagonist', 'Perverted Protagonist', 'Fighting Heroine', 'Leader Protagonist', 'War', 'Capturable Characters', 'Multiple Endings', 'Protagonist with Sexual Experience', 'Male Protagonist', 'More Than Seven Heroines', 'Sword Wielding Protagonist', 'Slave Heroine', 'Protagonist with a Face', 'Heroine Based on Real Person', 'ADV', 'Nympho Protagonist', 'Adult Protagonist', 'Map Movement', 'Past Setting in a Fictional World', 'Side Portraits', 'Difficulty Settings', 'Music Recollection', 'Bad Endings with Story', 'Dungeon Crawling Game', 'Naked Sprites', 'Dialogue Based']"
27,Hoshizora no Memoria -Wish Upon a Shooting Star-,2009-03-27,7.79,38.63,Very long,"['Dramatic Love Triangle', 'Flat Tints Only', 'High School Student Heroine', 'Childhood Promise', 'High School Student Protagonist', 'Astronomy Club', 'Male Protagonist', 'ADV', 'Only Virgin Heroines', 'Pure Love Story', 'Homecoming', 'Close-up CGs', 'Colored Name-tags', 'Unlockable Routes', 'School Life Comedy', 'Colored Texts', 'High School', 'Brother/Sister Romance', 'Shinto Shrine', 'Protagonist with a Face', 'Romance', 'Student Heroine', 'Unlockable Choices', ""Super Deformed CG's"", 'Multiple Endings', 'Correct Choice Indicator', ""Narrating Others' Thoughts"", 'Unlockable Hero(ine)', 'Long Common Route', 'Multiple Route Mystery']"
28,Kamidori Alchemy Meister,2011-04-22,8.11,38.35,Very long,"['Built-in Encyclopedia', 'Dungeon Crawling Game', 'New Game Plus', 'Alchemy', 'Fighting Heroine', 'SRPG', 'Inventor Protagonist', 'Combat Capable Friends', 'Magic', 'Male Protagonist', 'Group of Friends', 'Sword Wielding Heroine', 'Colored Name-tags', 'Protagonist with a Face', 'Magic/ESP Combat', 'Orphan Protagonist', 'Medieval Fantasy', 'Colored Texts', 'Non-human Heroine', 'Map Movement', 'Game Over', 'Unlockable Event', 'Sword Combat', 'Fictional Beings', 'Elf Heroine', 'Unlockable Side Stories', 'Customization', 'Changeable Clothes', 'ADV', 'Branching Plot']"
29,Yume Miru Kusuri,2005-12-22,7.38,37.68,Medium,"['Changeable Font', 'Slice of Life Drama', 'Male Protagonist', 'Multiple Endings', 'Romance', 'Student Heroine', 'ADV', ""Protagonist's Senpai as a Heroine"", 'Relationship Problems', 'Student Council President Heroine', 'High School', 'Modern Day Japan', 'Heroine with Zettai Ryouiki', 'Timid Heroine', 'Normal Scene Recollection', 'Early Branching Plot', 'White Haired Heroine', 'Naked Sprites', 'Protagonist with a Face', 'Bad Ending(s)', 'Bleep Censor', 'Chuunibyou Heroine', '2000s', 'Bad Endings with Story', 'Heroine with Big Breasts', 'Nakige', 'Choices with 4 or More Options']"
30,"Kono Oozora ni, Tsubasa o Hirogete",2012-05-25,7.69,36.91,Long,"['Sister Support Character', 'Summer', 'Slice of Life Drama', 'Student Club', 'Friendship', 'Group of Friends', 'Pilot Heroine', 'Unlockable Hero(ine)', 'School Dormitory', 'Airplane', 'Romance', 'Male Protagonist', 'Adolescent Romance', 'Student Club Member Heroine', 'Student Club Member Protagonist', 'Only Virgin Heroines', 'ADV', 'Multiple Endings', 'Branching Plot', 'Music Recollection', 'Unlockable Routes', 'Protagonist with a Face', 'Unlockable Choices', 'Mid-game Videos', 'Multiple Opening Movies', 'Long Common Route', ""Super Deformed CG's"", 'Other Perspectives', 'Few Choices', 'Naked Sprites']"
31,Maji de Watashi ni Koishinasai! S,2012-01-27,8.17,35.85,Long,"['ADV', 'Backlog Jump', 'Combat Capable Friends', 'Group of Friends', 'Male Friend', 'Martial Artist Heroine', 'More Than Seven Endings', 'School Life Comedy', 'Slice of Life Comedy', 'Student Heroine', 'Student Protagonist', 'Fighting Heroine', 'Tactician Protagonist', 'Male Protagonist', 'Unarmed Combat', 'Unarmed Fighting Heroine', 'Multiple Endings', 'Friendship', 'Mid-game Videos', 'More Than Seven Heroines', 'Colored Texts', 'Side Portraits', 'Unlockable Choices', 'Unlockable Epilogue', 'Unlockable Event', 'Unlockable Routes', 'Unlockable Side Stories', 'Protagonist with a Face', 'Female Protagonist for a Short Time', 'Unlockable Hero(ine)']"
32,Gyakuten Saiban 3,2004-01-23,8.53,35.85,Medium,"['2010s', 'Battle of Wits', 'Falsely Accused', 'Homicide', 'Lawyer Protagonist', 'Linear Plot', 'No Sexual Content', 'Courtroom', 'Murder Mystery', 'Protagonist with a Face', 'Interactive Adventure Game', 'ADV', 'Medium Heroine', 'Channeling', 'Mystery', 'Detective Work', 'Crime', 'Male Protagonist', 'Protagonist with a Sprite', 'Female Protagonist for a Short Time', 'Adult Protagonist', 'Episodic Story', 'Character Profiles', 'Highly Animated Sprites', 'No Romance Plot', 'Drama', 'Pre-rendered Backgrounds', 'Single Save Slot', 'Dialogue Based', 'Few Event CGs']"
33,Utawarerumono,2002-04-26,7.85,35.55,Long,"['Amnesiac Protagonist', 'Fighting Protagonist', 'Game Over', 'In-Game Tutorial', 'Pragmatic Protagonist', 'Proactive Protagonist', 'Linear Plot', 'Combat Capable Friends', 'ADV', 'Fighting Heroine', 'Kemonomimi Heroine', 'War', 'Single Ending', 'Difficulty Settings', 'Kemonomimi Support Character', 'Adult Heroine', 'Amnesia', 'Tactician Protagonist', 'Male Protagonist', 'SRPG', 'Fictional World', 'Meaningless Choices', 'Adult Protagonist', 'Voiced Thoughts', 'Music Recollection', 'Protagonist with a Face', 'Protagonist with Voice Acting', 'Built-in Encyclopedia', 'Changeable Font', ""Narrating Others' Thoughts""]"
34,Higurashi no Naku Koro ni Kai,2004-12-30,8.72,35.44,Very long,"['Curse', 'Friendship', 'Multiple Route Mystery', 'Student Club Member Heroine', 'Student Club Member Protagonist', 'Student Heroine', 'Suspense', 'Ambient Sounds', 'No Sexual Content', 'NVL', 'Other Perspectives', 'Group of Friends', 'Murder Mystery', 'Multiple Protagonists', 'Thriller', 'Mystery', 'Fictional Modern Day Japanese Countryside', ""80's"", 'Photographic Backgrounds', 'Violence', 'Shouwa Era', 'Drastic Character Development', 'Protagonist with a Face', 'Episodic Story', 'Kinetic Novel', 'Protagonist with a Sprite', 'Varied Title Screens', 'Unlockable Side Stories', 'No Romance Plot', 'Forced Auto-Read Sections']"
35,CHAOS;HEAD,2008-04-25,7.39,34.45,Medium,"['Delusional Protagonist', 'Psychological Horror', 'Delusion', 'Daydreams', 'Otaku Protagonist', 'Protagonist with Voice Acting', 'Paranoia', 'Madness', 'Science Fiction', 'Modern Day Shibuya', 'Mystery', 'Conspiracy', 'Murder Mystery', 'Built-in Encyclopedia', 'Protagonist with Psychological Problems', 'ADV', 'Modern Day Tokyo', 'Descriptions of Violence', 'Lip Sync', 'No Sexual Content', 'Protagonist with a Face', 'Playtime Counter', 'Other Perspectives', 'Bad Ending(s)', 'Linear Plot', 'Multiple Endings', 'Multiple Songs', 'Infodumping', 'Brief Branches Only', 'Enforced Playing Order']"
36,STEINS;GATE 0,2015-12-10,8.07,33.68,Long,"['Time Travel', 'Scientist Heroine', 'Blind Choices', 'Death of Heroine', 'Unlockable Routes', 'Group of Friends', 'One True End', 'Other Perspectives', 'Built-in Encyclopedia', 'Protagonist with Voice Acting', 'Scientist Protagonist', 'Time Jump', 'AI Heroine', 'Science Fiction', 'Enforced Playing Order', 'Modern Day Akihabara', 'No Sexual Content', 'Otaku Friend', 'Protagonist with a Face', 'Depression', 'Only One Bad Ending', 'Thriller', 'Multiple Endings', ""Protagonist's Childhood Friend as a Heroine"", 'Loli Heroine', 'Male Protagonist', 'Achievements', 'ADV', 'Bad Ending(s)', 'Brief NVL Scenes']"
37,narcissu,2005-08-02,7.47,33.10,Short,"['Sickly Heroine', 'Sickly Protagonist', 'Kinetic Novel', 'Only a Single Heroine', 'Dying Heroine', 'Dying Protagonist', 'Single Ending', 'Utsuge', 'Terminal Illness', 'Linear Plot', 'Health Issues', 'Life and Death Drama', 'ADV', 'No Sexual Content', 'Depression', 'Male Protagonist', 'Road Trip', 'Photographic Backgrounds', 'Central Heroine', 'No Gallery', 'No Character Sprites', 'Unnamed Protagonist', 'Car', 'Music Recollection', 'Adult Protagonist', 'Achievements']"
38,CROSS†CHANNEL,2003-09-26,7.79,32.98,Long,"['Achievements', 'No ""Keep Voice on Click"" Option', 'Perverted Protagonist', 'Flashback', 'ADV', 'High School', 'Male Protagonist', 'Broadcasting Club', 'Group of Friends', 'Music Recollection', 'Friendship', 'Student Heroine', 'High School Student Heroine', 'High School Student Protagonist', 'White Haired Protagonist', 'Kanji Puns', 'Student Protagonist', ""Protagonist's Kouhai as a Heroine"", 'Protagonist with a Face', 'Classic Tsundere Heroine', ""Super Deformed CG's"", 'Backlog Jump', 'Lip Sync', 'Skip to Choices', 'Censored Text']"
39,New Dangan Ronpa V3 Minna no Koroshiai Shingakki,2017-01-12,7.89,32.78,Long,"['Battle Royale', 'Confinement', 'Courtroom', 'Fear of Death', 'Major Antagonist', 'Murder Mystery', 'One True End', 'Protagonist with Ahoge', 'Detective Work', 'Execution', 'Desperation', 'Homicide', 'Interactive Adventure Game', 'Unlockable Bonus Content', 'Life and Death Drama', 'ADV', 'Protagonist with a Sprite', 'Protagonist with Voice Acting', 'Drastic Character Development', 'High School', 'Mischievous Hero', 'No Sexual Content', 'Protagonist with a Face', 'Character Profiles', 'Difficulty Settings', 'Map Movement', 'Achievements', 'Fast Mini-games', 'Normal Scene Recollection', 'Side Portraits']"
